id  , node_mac           , timestamp , received_at                 , air_quality_ppm, temperature, humidity, noise_db, mq135_raw, sound_raw, hop_count, seq_num, rssi, recv_rssi, battery_pct, peer_count, node_state
(60 , '1C:C3:AB:B3:7F:08', 1773928578, '2026-03-19T13:56:18.949397',            6.1 , 32.5       , 50.5    ,     51.3,         0,      1438,         1,     270, -64 , -64      ,         100,          2, 1)
(61 , '28:05:A5:32:43:64', 1773928585, '2026-03-19T13:56:26.607555',           36.19, 31.8       , 49.0    ,     52.2,       147,      1603,         1,     262, -53 , -54      ,         100,          2, 1)
(62 , '1C:C3:AB:B3:7F:08', 1773928588, '2026-03-19T13:56:29.573469',            6.1 , 32.5       , 50.5    ,     51.3,         0,      1440,         1,     271, -80 , -84      ,         100,          2, 1)
(63 , '28:05:A5:32:43:64', 1773928595, '2026-03-19T13:56:36.700664',           35.77, 31.8       , 48.9    ,     52.2,       146,      1598,         1,     263, -53 , -53      ,         100,          2, 1)
(64 , '1C:C3:AB:B3:7F:08', 1773928598, '2026-03-19T13:56:40.040022',            6.1 , 32.5       , 50.6    ,     51.3,         0,      1440,         1,     272, -79 , -84      ,         100,          2, 1)
(65 , '28:05:A5:32:43:64', 1773928606, '2026-03-19T13:56:46.185498',           35.36, 31.8       , 48.9    ,     52.2,       145,      1589,         1,     264, -53 , -54      ,         100,          2, 1)
(66 , '1C:C3:AB:B3:7F:08', 1773928608, '2026-03-19T13:56:49.643959',            6.1 , 32.5       , 50.6    ,     51.3,         0,      1441,         1,     273, -82 , -86      ,         100,          2, 1)
(67 , '28:05:A5:32:43:64', 1773928616, '2026-03-19T13:56:56.219526',           34.95, 31.8       , 48.9    ,     52.2,       144,      1601,         1,     265, -53 , -53      ,         100,          2, 1)
(68 , '1C:C3:AB:B3:7F:08', 1773928619, '2026-03-19T13:56:59.679949',            6.1 , 32.5       , 50.6    ,     51.3,         0,      1443,         1,     274, -84 , -87      ,         100,          2, 1)
(69 , '28:05:A5:32:43:64', 1773928626, '2026-03-19T13:57:06.744821',           34.95, 31.9       , 49.0    ,     52.2,       144,      1595,         1,     266, -53 , -54      ,         100,          2, 1)
(70 , '1C:C3:AB:B3:7F:08', 1773928629, '2026-03-19T13:57:10.125578',            6.1 , 32.5       , 50.6    ,     51.3,         0,      1444,         1,     275, -85 , -88      ,         100,          2, 1)
(71 , '28:05:A5:32:43:64', 1773928636, '2026-03-19T13:57:16.890265',           34.54, 31.9       , 49.0    ,     52.2,       143,      1593,         1,     267, -52 , -53      ,         100,          2, 1)
(72 , '1C:C3:AB:B3:7F:08', 1773928639, '2026-03-19T13:57:19.458450',            6.1 , 32.5       , 50.6    ,     51.3,         0,      1445,         1,     276, -84 , -87      ,         100,          2, 1)
(73 , '28:05:A5:32:43:64', 1773928646, '2026-03-19T13:57:27.020561',           34.54, 31.9       , 49.0    ,     52.2,       143,      1591,         1,     268, -52 , -54      ,         100,          2, 1)
(74 , '1C:C3:AB:B3:7F:08', 1773928649, '2026-03-19T13:57:29.396911',            6.1 , 32.5       , 50.6    ,     51.3,         0,      1446,         1,     277, -85 , -86      ,         100,          2, 1)
(75 , '28:05:A5:32:43:64', 1773928656, '2026-03-19T13:57:37.260629',           34.54, 31.9       , 49.0    ,     52.2,       142,      1597,         1,     269, -53 , -54      ,         100,          2, 1)
(76 , '1C:C3:AB:B3:7F:08', 1773928659, '2026-03-19T13:57:40.034042',            6.1 , 32.5       , 50.5    ,     51.4,         0,      1447,         1,     278, -85 , -87      ,         100,          2, 1)
(77 , '28:05:A5:32:43:64', 1773928666, '2026-03-19T13:57:47.131767',           34.14, 31.9       , 49.0    ,     52.2,       141,      1591,         1,     270, -54 , -54      ,         100,          2, 1)
(78 , '1C:C3:AB:B3:7F:08', 1773928669, '2026-03-19T13:57:50.304102',            6.1 , 32.5       , 50.5    ,     51.3,         0,      1446,         1,     279, -87 , -88      ,         100,          2, 1)
(79 , '28:05:A5:32:43:64', 1773928676, '2026-03-19T13:57:56.624182',           33.74, 32.0       , 48.9    ,     52.2,       140,      1597,         1,     271, -53 , -54      ,         100,          2, 1)
(80 , '1C:C3:AB:B3:7F:08', 1773928679, '2026-03-19T13:58:00.096474',            6.1 , 32.5       , 50.5    ,     51.4,         0,      1451,         1,     280, -80 , -85      ,         100,          2, 1)
(81 , '28:05:A5:32:43:64', 1773928686, '2026-03-19T13:58:07.101929',           32.95, 32.0       , 48.9    ,     52.1,       138,      1584,         1,     272, -53 , -53      ,         100,          2, 1)
(82 , '1C:C3:AB:B3:7F:08', 1773928689, '2026-03-19T13:58:09.689279',            6.1 , 32.6       , 50.5    ,     51.4,         0,      1451,         1,     281, -69 , -71      ,         100,          2, 1)
(83 , '28:05:A5:32:43:64', 1773928696, '2026-03-19T13:58:16.780985',           32.95, 32.0       , 48.9    ,     52.1,       137,      1584,         1,     273, -53 , -54      ,         100,          2, 1)
(84 , '1C:C3:AB:B3:7F:08', 1773928699, '2026-03-19T13:58:19.899477',            6.1 , 32.6       , 50.4    ,     51.4,         0,      1453,         1,     282, -82 , -83      ,         100,          2, 1)
(85 , '28:05:A5:32:43:64', 1773928706, '2026-03-19T13:58:27.449416',           32.17, 32.0       , 48.9    ,     52.1,       135,      1583,         1,     274, -52 , -54      ,         100,          2, 1)
(86 , '1C:C3:AB:B3:7F:08', 1773928709, '2026-03-19T13:58:30.108459',            6.1 , 32.6       , 50.4    ,     51.4,         0,      1453,         1,     283, -82 , -81      ,         100,          2, 1)
(87 , '28:05:A5:32:43:64', 1773928716, '2026-03-19T13:58:38.124784',           31.41, 32.0       , 48.8    ,     52.1,       133,      1579,         1,     275, -54 , -54      ,         100,          2, 1)
(88 , '1C:C3:AB:B3:7F:08', 1773928719, '2026-03-19T13:58:41.225328',            6.1 , 32.6       , 50.4    ,     51.4,         0,      1455,         1,     284, -84 , -86      ,         100,          2, 1)
